region_name,country_name,P95 Recorded Value
Central Europe,Austria,97.09196440378825
Central Europe,Croatia,106.64999198913574
Central Europe,Czech Republic,117.96267541249593
Central Europe,Germany,109.37067015965779
Central Europe,Hungary,85.81628672281902
Central Europe,Poland,108.0111214319865
Eastern Europe,Belarus,111.98823420206706
Eastern Europe,Greece,125.43632253011067
Eastern Europe,Russia,104.3202645778656
Eastern Europe,Serbia,77.96628920237224
Eastern Europe,Turkey,100.69513400395711
Western Europe,Belgium,93.24248123168945
Western Europe,Denmark,98.57612705230713
Western Europe,France,94.1010086271498
Western Europe,Italy,88.01034688949585
Western Europe,Netherlands,100.705872853597
Western Europe,Spain,101.19331773122151
Western Europe,Sweden,91.90756257375081
Western Europe,United Kingdom,126.15038681030273
